y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,106934,217370,5589649
01,000,97,000,AL,Total Migration-US,106245,215711,5548580
01,000,97,001,AL,Total Migration-Same State,59337,119622,2833824
01,000,97,003,AL,Total Migration-Different State,46908,96089,2714756
01,000,98,000,AL,Total Migration-Foreign,689,1659,41069
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1925,4386,100564
01,001,97,000,AL,Autauga County Total Migration-US,1894,4300,98410
01,001,97,001,AL,Autauga County Total Migration-Same State,1273,2686,55829
01,001,97,003,AL,Autauga County Total Migration-Different State,621,1614,42581
01,001,98,000,AL,Autauga County Total Migration-Foreign,31,86,2154
01,001,01,001,AL,Autauga County Non-migrants,18028,41008,1143227
01,001,01,051,AL,Elmore County,453,973,20480
01,001,01,101,AL,Montgomery County,396,818,16171
01,001,01,047,AL,Dallas County,67,145,2840
01,001,01,021,AL,Chilton County,62,141,2301
01,001,01,073,AL,Jefferson County,42,64,2002
01,001,57,005,FR,Foreign - APO/FPO ZIPs,31,86,2154
01,001,01,081,AL,Lee County,28,44,1316
01,001,01,117,AL,Shelby County,21,49,1081
01,001,01,085,AL,Lowndes County,20,52,1109
01,001,58,000,SS,Other flows - Same State,184,400,8528
01,001,59,000,DS,Other flows - Different State,621,1614,42581
01,001,59,001,DS,Other flows - Northeast,22,57,1419
01,001,59,003,DS,Other flows - Midwest,100,233,6001
01,001,59,005,DS,Other flows - South,384,985,25955
01,001,59,007,DS,Other flows - West,115,339,9206
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,6818,13693,491043
01,003,97,000,AL,Baldwin County Total Migration-US,6818,13693,491043
01,003,97,001,AL,Baldwin County Total Migration-Same State,2266,4529,175798
01,003,97,003,AL,Baldwin County Total Migration-Different State,4552,9164,315245
01,003,98,000,AL,Baldwin County Total Migration-Foreign,-1,-1,-1
01,003,01,003,AL,Baldwin County Non-migrants,73765,158376,5421048
01,003,01,097,AL,Mobile County,1014,1994,77839
01,003,12,033,FL,Escambia County,369,722,21317
01,003,01,073,AL,Jefferson County,179,363,13174
01,003,01,117,AL,Shelby County,95,200,9793
01,003,01,053,AL,Escambia County,91,209,3153
01,003,12,113,FL,Santa Rosa County,79,151,3788
01,003,01,081,AL,Lee County,77,144,3894
01,003,01,125,AL,Tuscaloosa County,77,148,4968
01,003,01,101,AL,Montgomery County,60,104,5111
01,003,01,089,AL,Madison County,59,105,4548
01,003,47,157,TN,Shelby County,59,106,5345
01,003,28,059,MS,Jackson County,47,80,2712
01,003,13,067,GA,Cobb County,45,83,5138
01,003,12,091,FL,Okaloosa County,42,83,1877
01,003,28,047,MS,Harrison County,41,63,2242
01,003,47,037,TN,Davidson County,40,59,3057
01,003,48,201,TX,Harris County,37,73,4779
01,003,12,031,FL,Duval County,35,74,1994
01,003,06,073,CA,San Diego County,34,66,2279
01,003,01,069,AL,Houston County,33,64,1501
01,003,01,099,AL,Monroe County,33,73,1860
01,003,12,005,FL,Bay County,33,65,2083
01,003,01,015,AL,Calhoun County,31,60,1577
01,003,01,051,AL,Elmore County,31,80,1932
01,003,04,013,AZ,Maricopa County,30,47,1294
01,003,01,001,AL,Autauga County,28,62,1322
01,003,01,025,AL,Clarke County,26,60,1871
01,003,12,011,FL,Broward County,26,49,2021
01,003,13,089,GA,DeKalb County,26,40,1832
01,003,13,121,GA,Fulton County,26,47,2321
01,003,01,055,AL,Etowah County,25,50,703
01,003,12,131,FL,Walton County,25,52,1672
01,003,22,033,LA,East Baton Rouge Parish,25,46,3233
01,003,48,439,TX,Tarrant County,25,57,2941
01,003,01,115,AL,St. Clair County,24,52,1447
01,003,22,103,LA,St. Tammany Parish,24,53,2804
01,003,48,113,TX,Dallas County,24,41,2987
01,003,01,127,AL,Walker County,23,46,1471
01,003,01,129,AL,Washington County,23,41,1653
01,003,06,037,CA,Los Angeles County,23,48,1192
01,003,01,077,AL,Lauderdale County,22,52,816
01,003,12,103,FL,Pinellas County,22,30,896
01,003,01,121,AL,Talladega County,21,35,1604
01,003,22,055,LA,Lafayette Parish,21,41,959
01,003,28,075,MS,Lauderdale County,21,36,1468
01,003,12,095,FL,Orange County,20,38,1221
01,003,13,135,GA,Gwinnett County,20,42,1396
01,003,48,029,TX,Bexar County,20,42,1191
01,003,58,000,SS,Other flows - Same State,294,593,17150
01,003,59,000,DS,Other flows - Different State,3313,6833,227449
01,003,59,001,DS,Other flows - Northeast,223,427,14261
01,003,59,003,DS,Other flows - Midwest,1082,2211,63882
01,003,59,005,DS,Other flows - South,1654,3466,125048
01,003,59,007,DS,Other flows - West,354,729,24257
01,003,57,009,FR,Foreign - Other flows,-1,-1,-1
01,005,96,000,AL,Barbour County Total Migration-US and Foreign,389,839,15215
01,005,97,000,AL,Barbour County Total Migration-US,389,839,15215
01,005,97,001,AL,Barbour County Total Migration-Same State,210,462,7708
01,005,97,003,AL,Barbour County Total Migration-Different State,179,377,7507
01,005,98,000,AL,Barbour County Total Migration-Foreign,-1,-1,-1
01,005,01,005,AL,Barbour County Non-migrants,7176,15417,322664
01,005,13,239,GA,Quitman County,31,70,962
01,005,01,045,AL,Dale County,30,80,1299
01,005,01,067,AL,Henry County,26,55,1061
01,005,01,069,AL,Houston County,25,72,775
01,005,01,109,AL,Pike County,20,41,690
01,005,58,000,SS,Other flows - Same State,109,214,3882
01,005,59,000,DS,Other flows - Different State,148,307,6545
01,005,59,001,DS,Other flows - Northeast,-1,-1,-1
01,005,59,003,DS,Other flows - Midwest,23,48,1031
01,005,59,005,DS,Other flows - South,125,259,5514
01,005,59,007,DS,Other flows - West,-1,-1,-1
01,005,57,009,FR,Foreign - Other flows,-1,-1,-1
01,007,96,000,AL,Bibb County Total Migration-US and Foreign,376,856,15189
01,007,97,000,AL,Bibb County Total Migration-US,376,856,15189
01,007,97,001,AL,Bibb County Total Migration-Same State,336,765,13378
01,007,97,003,AL,Bibb County Total Migration-Different State,40,91,1811
01,007,01,007,AL,Bibb County Non-migrants,6054,14005,332129
01,007,01,125,AL,Tuscaloosa County,105,251,4932
01,007,01,073,AL,Jefferson County,75,174,2799
01,007,01,117,AL,Shelby County,52,116,2285
01,007,01,021,AL,Chilton County,31,69,1138
01,007,58,000,SS,Other flows - Same State,73,155,2225
01,007,59,000,DS,Other flows - Different State,40,91,1811
01,007,59,001,DS,Other flows - Northeast,-1,-1,-1
01,007,59,003,DS,Other flows - Midwest,-1,-1,-1
01,007,59,005,DS,Other flows - South,40,91,1811
01,007,59,007,DS,Other flows - West,-1,-1,-1
01,009,96,000,AL,Blount County Total Migration-US and Foreign,1211,2482,52661
01,009,97,000,AL,Blount County Total Migration-US,1211,2482,52661
01,009,97,001,AL,Blount County Total Migration-Same State,1020,2089,44288
01,009,97,003,AL,Blount County Total Migration-Different State,191,393,8373
01,009,98,000,AL,Blount County Total Migration-Foreign,-1,-1,-1
01,009,01,009,AL,Blount County Non-migrants,17300,41284,982763
01,009,01,073,AL,Jefferson County,493,1014,23918
01,009,01,043,AL,Cullman County,97,200,3506
01,009,01,095,AL,Marshall County,89,195,2674
01,009,01,115,AL,St. Clair County,89,174,3804
01,009,01,055,AL,Etowah County,50,101,1923
01,009,01,117,AL,Shelby County,48,80,2537
01,009,01,127,AL,Walker County,24,48,959
01,009,58,000,SS,Other flows - Same State,130,277,4968
01,009,59,000,DS,Other flows - Different State,191,393,8373
01,009,59,001,DS,Other flows - Northeast,-1,-1,-1
01,009,59,003,DS,Other flows - Midwest,24,51,1026
01,009,59,005,DS,Other flows - South,139,283,6033
01,009,59,007,DS,Other flows - West,28,59,1314
01,009,57,009,FR,Foreign - Other flows,-1,-1,-1
01,011,96,000,AL,Bullock County Total Migration-US and Foreign,180,400,5131
01,011,97,000,AL,Bullock County Total Migration-US,180,400,5131
01,011,97,001,AL,Bullock County Total Migration-Same State,138,300,3704
01,011,97,003,AL,Bullock County Total Migration-Different State,42,100,1427
01,011,98,000,AL,Bullock County Total Migration-Foreign,-1,-1,-1
01,011,01,011,AL,Bullock County Non-migrants,2948,6240,108587
01,011,01,101,AL,Montgomery County,40,79,1158
01,011,01,109,AL,Pike County,24,62,790
01,011,01,005,AL,Barbour County,21,43,483
01,011,58,000,SS,Other flows - Same State,53,116,1272
01,011,59,000,DS,Other flows - Different State,42,100,1427
01,011,59,001,DS,Other flows - Northeast,-1,-1,-1
01,011,59,003,DS,Other flows - Midwest,-1,-1,-1
01,011,59,005,DS,Other flows - South,42,100,1427
01,011,59,007,DS,Other flows - West,-1,-1,-1
