y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,111014,232403,4755887
01,000,97,000,AL,Total Migration-US,110151,230472,4708509
01,000,97,001,AL,Total Migration-Same State,60635,129017,2461420
01,000,97,003,AL,Total Migration-Different State,49516,101455,2247089
01,000,98,000,AL,Total Migration-Foreign,863,1931,47378
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1849,4236,84542
01,001,97,000,AL,Autauga County Total Migration-US,1815,4123,82109
01,001,97,001,AL,Autauga County Total Migration-Same State,1131,2433,42562
01,001,97,003,AL,Autauga County Total Migration-Different State,684,1690,39547
01,001,98,000,AL,Autauga County Total Migration-Foreign,34,113,2433
01,001,01,001,AL,Autauga County Non-migrants,17690,41552,1036293
01,001,01,051,AL,Elmore County,369,836,15836
01,001,01,101,AL,Montgomery County,323,673,10309
01,001,01,021,AL,Chilton County,68,174,1900
01,001,01,073,AL,Jefferson County,45,98,1723
01,001,01,047,AL,Dallas County,39,78,1054
01,001,57,005,FR,Foreign - APO/FPO ZIPs,34,113,2433
01,001,01,117,AL,Shelby County,33,72,1841
01,001,01,081,AL,Lee County,32,50,1056
01,001,01,003,AL,Baldwin County,28,55,1208
01,001,01,097,AL,Mobile County,21,43,642
01,001,12,033,FL,Escambia County,17,34,642
01,001,51,059,VA,Fairfax County,17,70,1593
01,001,08,041,CO,El Paso County,16,63,1286
01,001,01,123,AL,Tallapoosa County,15,44,586
01,001,01,125,AL,Tuscaloosa County,14,22,348
01,001,01,089,AL,Madison County,13,27,396
01,001,48,029,TX,Bexar County,12,36,853
01,001,01,085,AL,Lowndes County,11,22,382
01,001,01,109,AL,Pike County,11,22,447
01,001,12,005,FL,Bay County,10,28,476
01,001,58,000,SS,Other flows - Same State,109,217,4835
01,001,59,000,DS,Other flows - Different State,612,1459,34697
01,001,59,001,DS,Other flows - Northeast,30,54,1368
01,001,59,003,DS,Other flows - Midwest,83,187,4258
01,001,59,005,DS,Other flows - South,399,943,22734
01,001,59,007,DS,Other flows - West,100,275,6336
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,4330,8609,208263
01,003,97,000,AL,Baldwin County Total Migration-US,4297,8539,205542
01,003,97,001,AL,Baldwin County Total Migration-Same State,1563,3082,71138
01,003,97,003,AL,Baldwin County Total Migration-Different State,2734,5457,134403
01,003,98,000,AL,Baldwin County Total Migration-Foreign,33,70,2722
01,003,01,003,AL,Baldwin County Non-migrants,66256,145809,4174116
01,003,01,097,AL,Mobile County,732,1357,30785
