y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
1,1,96,0,AL,Autauga County Total Migration-US and Foreign,1918,4141,113574
1,1,97,0,AL,Autauga County Total Migration-US,1898,4065,111510
1,1,97,1,AL,Autauga County Total Migration-Same State,1279,2579,61650
1,1,97,3,AL,Autauga County Total Migration-Different State,619,1486,49860
1,1,98,0,AL,Autauga County Total Migration-Foreign,20,76,2065
1,1,1,1,AL,Autauga County Non-migrants,18703,40564,1273371
1,1,1,51,AL,Elmore County,506,1028,24940
1,1,1,101,AL,Montgomery County,299,584,12446
1,1,1,21,AL,Chilton County,70,145,2637
1,1,1,73,AL,Jefferson County,41,73,1877
1,1,1,117,AL,Shelby County,38,79,2410
1,1,1,47,AL,Dallas County,34,76,1186
1,1,1,3,AL,Baldwin County,33,68,2350
1,1,1,89,AL,Madison County,31,62,1731
1,1,1,81,AL,Lee County,24,46,1528
1,1,51,59,VA,Fairfax County,23,80,3056
1,1,48,29,TX,Bexar County,20,44,1561
1,1,57,5,FR,Foreign - APO/FPO ZIPs,20,76,2065
1,1,58,0,SS,Other flows - Same State,203,418,10545
1,1,59,0,DS,Other flows - Different State,576,1362,45242
1,1,59,1,DS,Other flows - Northeast,30,55,1758
1,1,59,3,DS,Other flows - Midwest,63,158,4624
1,1,59,5,DS,Other flows - South,378,901,30796
1,1,59,7,DS,Other flows - West,105,248,8065
1,3,96,0,AL,Baldwin County Total Migration-US and Foreign,5257,9327,336312
1,3,97,0,AL,Baldwin County Total Migration-US,5257,9327,336312
1,3,97,1,AL,Baldwin County Total Migration-Same State,1900,3367,119384
1,3,97,3,AL,Baldwin County Total Migration-Different State,3357,5960,216928
1,3,1,3,AL,Baldwin County Non-migrants,78899,163060,6136734
1,3,1,97,AL,Mobile County,835,1452,51210
1,3,12,33,FL,Escambia County,318,526,25315
1,3,1,73,AL,Jefferson County,139,226,8672
1,3,1,53,AL,Escambia County,103,211,4070
1,3,1,89,AL,Madison County,78,111,3630
1,3,12,113,FL,Santa Rosa County,75,142,4933
1,3,1,117,AL,Shelby County,73,144,5248
1,3,1,81,AL,Lee County,60,130,5376
1,3,28,59,MS,Jackson County,49,79,2104
1,3,28,47,MS,Harrison County,47,71,2334
