y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,100390,207334,4835874
01,000,97,000,AL,Total Migration-US,99527,205203,4782089
01,000,97,001,AL,Total Migration-Same State,56323,115151,2486684
01,000,97,003,AL,Total Migration-Different State,43204,90052,2295405
01,000,98,000,AL,Total Migration-Foreign,863,2131,53785
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1870,4326,94250
01,001,97,000,AL,Autauga County Total Migration-US,1830,4190,91390
01,001,97,001,AL,Autauga County Total Migration-Same State,1173,2529,48813
01,001,97,003,AL,Autauga County Total Migration-Different State,657,1661,42577
01,001,98,000,AL,Autauga County Total Migration-Foreign,40,136,2861
01,001,01,001,AL,Autauga County Non-migrants,17914,41255,1098515
01,001,01,051,AL,Elmore County,387,895,17374
01,001,01,101,AL,Montgomery County,352,741,13267
01,001,01,021,AL,Chilton County,68,147,2111
01,001,01,047,AL,Dallas County,57,132,2253
01,001,01,073,AL,Jefferson County,45,81,1974
01,001,57,005,FR,Foreign - APO/FPO ZIPs,40,136,2861
01,001,01,117,AL,Shelby County,31,71,1744
01,001,01,081,AL,Lee County,24,42,761
01,001,58,000,SS,Other flows - Same State,209,420,9330
01,001,59,000,DS,Other flows - Different State,657,1661,42577
01,001,59,001,DS,Other flows - Northeast,34,77,1931
01,001,59,003,DS,Other flows - Midwest,98,260,7198
01,001,59,005,DS,Other flows - South,414,998,24882
01,001,59,007,DS,Other flows - West,111,326,8566
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,6069,12223,392252
01,003,97,000,AL,Baldwin County Total Migration-US,5828,11688,377777
01,003,97,001,AL,Baldwin County Total Migration-Same State,2253,4417,150675
01,003,97,003,AL,Baldwin County Total Migration-Different State,3575,7271,227102
01,003,98,000,AL,Baldwin County Total Migration-Foreign,241,535,14475
01,003,01,003,AL,Baldwin County Non-migrants,69838,151110,4747394
01,003,01,097,AL,Mobile County,1003,1998,70812
01,003,12,033,FL,Escambia County,323,614,14673
01,003,01,073,AL,Jefferson County,171,308,15878
01,003,01,117,AL,Shelby County,95,192,7984
01,003,01,125,AL,Tuscaloosa County,91,167,6049
01,003,01,053,AL,Escambia County,76,162,3273
01,003,01,101,AL,Montgomery County,75,140,5345
01,003,12,113,FL,Santa Rosa County,70,132,3499
01,003,01,089,AL,Madison County,57,106,4331
01,003,01,081,AL,Lee County,55,94,2735
01,003,48,201,TX,Harris County,49,100,10215
01,003,28,059,MS,Jackson County,43,89,3302
01,003,01,025,AL,Clarke County,40,82,2580
01,003,47,157,TN,Shelby County,39,75,2252
01,003,28,047,MS,Harrison County,38,86,1885
01,003,12,091,FL,Okaloosa County,36,63,2048
01,003,01,069,AL,Houston County,35,74,1761
01,003,01,099,AL,Monroe County,34,62,1331
01,003,01,015,AL,Calhoun County,32,71,2013
01,003,01,051,AL,Elmore County,32,60,2198
01,003,48,453,TX,Travis County,32,56,572
01,003,01,055,AL,Etowah County,30,50,1311
01,003,01,115,AL,St. Clair County,30,66,1613
01,003,12,031,FL,Duval County,29,43,1547
01,003,01,103,AL,Morgan County,26,50,1730
01,003,17,031,IL,Cook County,26,54,2067
01,003,47,037,TN,Davidson County,26,41,1369
01,003,13,067,GA,Cobb County,25,51,1530
01,003,22,051,LA,Jefferson Parish,25,39,2736
01,003,06,073,CA,San Diego County,23,54,2803
01,003,13,121,GA,Fulton County,23,50,2475
01,003,01,047,AL,Dallas County,22,40,1446
01,003,01,129,AL,Washington County,22,38,1149
