y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,2169,4909,120570
01,001,97,000,AL,Autauga County Total Migration-US,2131,4793,117820
01,001,97,001,AL,Autauga County Total Migration-Same State,1432,3022,70573
01,001,97,003,AL,Autauga County Total Migration-Different State,699,1771,47247
01,001,98,000,AL,Autauga County Total Migration-Foreign,38,116,2751
01,001,01,001,AL,Autauga County Non-migrants,18338,41994,1246727
01,001,01,051,AL,Elmore County,518,1125,27092
01,001,01,101,AL,Montgomery County,426,897,20150
01,001,01,047,AL,Dallas County,77,173,3083
01,001,01,021,AL,Chilton County,63,130,2616
01,001,01,073,AL,Jefferson County,48,87,2795
01,001,57,005,FR,Foreign - APO/FPO ZIPs,38,116,2751
01,001,01,117,AL,Shelby County,32,65,2647
01,001,01,081,AL,Lee County,24,39,1151
01,001,58,000,SS,Other flows - Same State,244,506,11040
01,001,59,000,DS,Other flows - Different State,699,1771,47247
01,001,59,001,DS,Other flows - Northeast,32,72,1777
01,001,59,003,DS,Other flows - Midwest,95,232,6273
01,001,59,005,DS,Other flows - South,449,1123,29588
01,001,59,007,DS,Other flows - West,123,344,9609
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,7433,14950,628150
01,003,97,000,AL,Baldwin County Total Migration-US,7412,14892,626955
01,003,97,001,AL,Baldwin County Total Migration-Same State,2591,5196,237202
01,003,97,003,AL,Baldwin County Total Migration-Different State,4821,9696,389752
01,003,98,000,AL,Baldwin County Total Migration-Foreign,21,58,1195
01,003,01,003,AL,Baldwin County Non-migrants,76984,165933,6034937
01,003,01,097,AL,Mobile County,1075,2135,82120
01,003,12,033,FL,Escambia County,430,821,25551
01,003,01,073,AL,Jefferson County,207,422,36209
01,003,01,117,AL,Shelby County,123,254,11411
01,003,01,053,AL,Escambia County,120,234,5497
01,003,01,101,AL,Montgomery County,105,192,8952
01,003,01,125,AL,Tuscaloosa County,95,172,5590
01,003,12,113,FL,Santa Rosa County,87,175,5795
01,003,01,089,AL,Madison County,71,161,7704
01,003,12,091,FL,Okaloosa County,65,114,3167
01,003,01,081,AL,Lee County,56,110,5034
01,003,01,051,AL,Elmore County,50,98,3373
01,003,01,115,AL,St. Clair County,50,129,3448
01,003,47,157,TN,Shelby County,49,95,4215
01,003,28,047,MS,Harrison County,47,88,2258
01,003,28,059,MS,Jackson County,47,83,2373
01,003,48,201,TX,Harris County,45,89,6404
