y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,127216,262071,6569544
01,000,97,000,AL,Total Migration-US,126403,260046,6520570
01,000,97,001,AL,Total Migration-Same State,71530,148378,3510398
01,000,97,003,AL,Total Migration-Different State,54873,111668,3010171
01,000,98,000,AL,Total Migration-Foreign,813,2025,48974
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,2318,5428,130558
01,001,97,000,AL,Autauga County Total Migration-US,2279,5303,127602
01,001,97,001,AL,Autauga County Total Migration-Same State,1442,3100,68599
01,001,97,003,AL,Autauga County Total Migration-Different State,837,2203,59003
01,001,98,000,AL,Autauga County Total Migration-Foreign,39,125,2957
01,001,01,001,AL,Autauga County Non-migrants,17484,39711,1106647
01,001,01,051,AL,Elmore County,601,1335,29769
01,001,01,101,AL,Montgomery County,370,753,16193
01,001,01,021,AL,Chilton County,80,191,2710
01,001,01,073,AL,Jefferson County,45,79,1690
01,001,01,117,AL,Shelby County,41,89,2585
01,001,01,081,AL,Lee County,40,91,2268
01,001,57,005,FR,Foreign - APO/FPO ZIPs,39,125,2957
01,001,01,003,AL,Baldwin County,33,70,1767
01,001,01,047,AL,Dallas County,31,68,1076
01,001,01,097,AL,Mobile County,26,50,964
01,001,51,059,VA,Fairfax County,25,82,2468
01,001,12,005,FL,Bay County,20,45,937
01,001,58,000,SS,Other flows - Same State,175,374,9578
01,001,59,000,DS,Other flows - Different State,792,2076,55598
01,001,59,001,DS,Other flows - Northeast,26,66,1757
01,001,59,003,DS,Other flows - Midwest,102,259,6662
01,001,59,005,DS,Other flows - South,520,1356,37119
01,001,59,007,DS,Other flows - West,144,395,10060
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,5258,10091,286198
01,003,97,000,AL,Baldwin County Total Migration-US,5258,10091,286198
01,003,97,001,AL,Baldwin County Total Migration-Same State,1808,3463,91159
01,003,97,003,AL,Baldwin County Total Migration-Different State,3450,6628,195039
01,003,98,000,AL,Baldwin County Total Migration-Foreign,-1,-1,-1
01,003,01,003,AL,Baldwin County Non-migrants,70147,151156,4885943
01,003,01,097,AL,Mobile County,823,1519,40911
01,003,12,033,FL,Escambia County,399,706,23025
01,003,01,073,AL,Jefferson County,136,279,8781
01,003,01,053,AL,Escambia County,85,179,4384
01,003,12,113,FL,Santa Rosa County,85,164,4582
01,003,01,125,AL,Tuscaloosa County,75,133,4360
01,003,01,117,AL,Shelby County,72,138,3982
01,003,01,089,AL,Madison County,67,121,4150
01,003,01,081,AL,Lee County,61,104,2529
01,003,12,091,FL,Okaloosa County,55,100,2842
01,003,28,059,MS,Jackson County,45,85,2446
01,003,01,101,AL,Montgomery County,40,64,2059
01,003,12,031,FL,Duval County,35,60,1183
01,003,01,069,AL,Houston County,34,59,1495
01,003,06,073,CA,San Diego County,31,61,1511
01,003,28,047,MS,Harrison County,31,58,1334
01,003,01,099,AL,Monroe County,30,70,1217
01,003,12,005,FL,Bay County,26,50,1429
01,003,12,057,FL,Hillsborough County,26,51,2168
01,003,12,095,FL,Orange County,26,42,1456
01,003,04,013,AZ,Maricopa County,25,45,1607
01,003,48,453,TX,Travis County,25,49,1138
01,003,12,103,FL,Pinellas County,24,37,1082
01,003,22,033,LA,East Baton Rouge Parish,24,39,1140
01,003,48,439,TX,Tarrant County,24,56,1384
01,003,13,089,GA,DeKalb County,23,37,1208
01,003,13,121,GA,Fulton County,23,38,1589
01,003,22,071,LA,Orleans Parish,23,45,1920
01,003,01,055,AL,Etowah County,22,37,1162
