y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
1,1,96,0,AL,Autauga County Total Migration-US and Foreign,1945,4124,123796
1,1,97,0,AL,Autauga County Total Migration-US,1923,4040,121248
1,1,97,1,AL,Autauga County Total Migration-Same State,1241,2443,68239
1,1,97,3,AL,Autauga County Total Migration-Different State,682,1597,53009
1,1,98,0,AL,Autauga County Total Migration-Foreign,22,84,2547
1,1,1,1,AL,Autauga County Non-migrants,19346,41562,1413939
1,1,1,51,AL,Elmore County,463,909,25789
1,1,1,101,AL,Montgomery County,290,571,12081
1,1,1,21,AL,Chilton County,78,183,3232
1,1,1,73,AL,Jefferson County,44,82,2145
1,1,1,47,AL,Dallas County,42,85,1348
1,1,1,117,AL,Shelby County,37,65,2383
1,1,1,3,AL,Baldwin County,34,63,2101
1,1,1,81,AL,Lee County,34,59,2419
1,1,1,89,AL,Madison County,29,58,1834
1,1,57,5,FR,Foreign - APO/FPO ZIPs,22,84,2547
1,1,1,97,AL,Mobile County,20,42,1480
1,1,58,0,SS,Other flows - Same State,170,328,10990
1,1,59,0,DS,Other flows - Different State,682,1597,53009
1,1,59,1,DS,Other flows - Northeast,31,75,2365
1,1,59,3,DS,Other flows - Midwest,74,178,4486
1,1,59,5,DS,Other flows - South,465,1055,36627
1,1,59,7,DS,Other flows - West,112,289,9532
1,1,57,9,FR,Foreign - Other flows,-1,-1,-1
1,3,96,0,AL,Baldwin County Total Migration-US and Foreign,5089,9097,331895
1,3,97,0,AL,Baldwin County Total Migration-US,5089,9097,331895
1,3,97,1,AL,Baldwin County Total Migration-Same State,1821,3241,112179
1,3,97,3,AL,Baldwin County Total Migration-Different State,3268,5856,219716
1,3,1,3,AL,Baldwin County Non-migrants,83833,172625,7801116
1,3,1,97,AL,Mobile County,800,1401,45869
1,3,12,33,FL,Escambia County,351,620,19059
1,3,1,73,AL,Jefferson County,133,201,10190
1,3,1,53,AL,Escambia County,93,178,3304
1,3,12,113,FL,Santa Rosa County,83,155,4236
1,3,1,117,AL,Shelby County,79,146,7412
1,3,1,89,AL,Madison County,75,135,5280
1,3,1,125,AL,Tuscaloosa County,59,93,3485
1,3,12,91,FL,Okaloosa County,48,76,2812
1,3,1,81,AL,Lee County,46,76,2521
1,3,28,47,MS,Harrison County,43,84,2748
1,3,48,201,TX,Harris County,36,61,4226
1,3,1,101,AL,Montgomery County,33,62,4239
1,3,28,59,MS,Jackson County,33,50,1770
1,3,1,51,AL,Elmore County,30,59,2149
1,3,1,99,AL,Monroe County,29,54,1287
1,3,1,43,AL,Cullman County,28,53,2117
1,3,6,73,CA,San Diego County,27,54,1787
1,3,1,1,AL,Autauga County,26,62,2443
1,3,12,95,FL,Orange County,26,35,1916
1,3,12,31,FL,Duval County,25,45,1346
1,3,1,115,AL,St. Clair County,24,43,1011
1,3,12,5,FL,Bay County,24,52,1192
1,3,13,121,GA,Fulton County,24,43,1850
1,3,48,113,TX,Dallas County,24,41,1392
