y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
1,1,96,0,AL,Autauga County Total Migration-US and Foreign,2105,4580,133082
1,1,97,0,AL,Autauga County Total Migration-US,2076,4489,130188
1,1,97,1,AL,Autauga County Total Migration-Same State,1315,2612,69328
1,1,97,3,AL,Autauga County Total Migration-Different State,761,1877,60861
1,1,98,0,AL,Autauga County Total Migration-Foreign,29,91,2894
1,1,1,1,AL,Autauga County Non-migrants,19346,41562,1413939
1,1,1,51,AL,Elmore County,475,935,23050
1,1,1,101,AL,Montgomery County,376,776,21224
1,1,1,47,AL,Dallas County,60,124,2285
1,1,1,21,AL,Chilton County,57,114,2482
1,1,1,73,AL,Jefferson County,45,71,2476
1,1,1,117,AL,Shelby County,32,85,2512
1,1,57,5,FR,Foreign - APO/FPO ZIPs,29,91,2894
1,1,1,3,AL,Baldwin County,26,62,2443
1,1,1,123,AL,Tallapoosa County,20,36,710
1,1,58,0,SS,Other flows - Same State,224,409,12147
1,1,59,0,DS,Other flows - Different State,761,1877,60861
1,1,59,1,DS,Other flows - Northeast,42,97,2550
1,1,59,3,DS,Other flows - Midwest,91,233,7696
1,1,59,5,DS,Other flows - South,454,1065,35032
1,1,59,7,DS,Other flows - West,174,482,15583
1,3,96,0,AL,Baldwin County Total Migration-US and Foreign,7773,14916,720026
1,3,97,0,AL,Baldwin County Total Migration-US,7773,14916,720026
1,3,97,1,AL,Baldwin County Total Migration-Same State,2445,4530,198436
1,3,97,3,AL,Baldwin County Total Migration-Different State,5328,10386,521590
1,3,1,3,AL,Baldwin County Non-migrants,83833,172625,7801116
1,3,1,97,AL,Mobile County,996,1821,73969
1,3,12,33,FL,Escambia County,456,841,25977
1,3,1,73,AL,Jefferson County,193,342,17847
1,3,1,117,AL,Shelby County,137,265,14296
1,3,12,113,FL,Santa Rosa County,103,196,12142
1,3,1,125,AL,Tuscaloosa County,92,174,8012
1,3,1,89,AL,Madison County,84,145,9425
1,3,1,53,AL,Escambia County,75,158,3402
1,3,1,101,AL,Montgomery County,74,123,8441
1,3,47,157,TN,Shelby County,58,101,5478
1,3,1,81,AL,Lee County,56,86,3401
1,3,1,99,AL,Monroe County,53,103,3589
1,3,28,47,MS,Harrison County,53,94,2722
1,3,12,91,FL,Okaloosa County,51,100,4332
1,3,1,51,AL,Elmore County,49,100,3324
1,3,28,59,MS,Jackson County,47,82,4662
1,3,1,115,AL,St. Clair County,45,93,3648
1,3,4,13,AZ,Maricopa County,45,82,3821
1,3,13,67,GA,Cobb County,45,88,7779
1,3,47,37,TN,Davidson County,44,79,6486
1,3,48,201,TX,Harris County,43,74,5932
1,3,22,103,LA,St. Tammany Parish,42,77,5296
1,3,12,11,FL,Broward County,41,71,3118
1,3,13,121,GA,Fulton County,38,61,5179
1,3,22,51,LA,Jefferson Parish,38,70,2930
1,3,13,135,GA,Gwinnett County,37,76,3864
1,3,1,55,AL,Etowah County,36,74,1794
1,3,17,31,IL,Cook County,36,59,2784
1,3,6,73,CA,San Diego County,35,68,4603
1,3,1,1,AL,Autauga County,34,63,2101
1,3,6,37,CA,Los Angeles County,32,54,2223
1,3,1,15,AL,Calhoun County,31,53,1434
1,3,6,65,CA,Riverside County,31,60,3359
1,3,12,95,FL,Orange County,31,56,2532
1,3,1,103,AL,Morgan County,30,53,2058
