y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1914,4336,111235
01,001,97,000,AL,Autauga County Total Migration-US,1887,4265,109063
01,001,97,001,AL,Autauga County Total Migration-Same State,1209,2540,60756
01,001,97,003,AL,Autauga County Total Migration-Different State,678,1725,48307
01,001,98,000,AL,Autauga County Total Migration-Foreign,27,71,2172
01,001,01,001,AL,Autauga County Non-migrants,18338,41994,1246727
01,001,01,051,AL,Elmore County,476,1047,25245
01,001,01,101,AL,Montgomery County,283,553,11867
01,001,01,021,AL,Chilton County,76,206,3482
01,001,01,073,AL,Jefferson County,56,87,2819
01,001,01,117,AL,Shelby County,40,80,2205
01,001,01,003,AL,Baldwin County,34,81,2268
01,001,01,047,AL,Dallas County,30,58,919
01,001,57,005,FR,Foreign - APO/FPO ZIPs,27,71,2172
01,001,01,089,AL,Madison County,25,54,1316
01,001,58,000,SS,Other flows - Same State,189,374,10635
01,001,59,000,DS,Other flows - Different State,678,1725,48307
01,001,59,001,DS,Other flows - Northeast,33,66,2535
01,001,59,003,DS,Other flows - Midwest,80,205,5838
01,001,59,005,DS,Other flows - South,455,1179,32297
01,001,59,007,DS,Other flows - West,110,275,7637
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,4823,9137,280086
01,003,97,000,AL,Baldwin County Total Migration-US,4823,9137,280086
01,003,97,001,AL,Baldwin County Total Migration-Same State,1746,3319,89899
01,003,97,003,AL,Baldwin County Total Migration-Different State,3077,5818,190188
01,003,01,003,AL,Baldwin County Non-migrants,76984,165933,6034937
01,003,01,097,AL,Mobile County,817,1556,40629
01,003,12,033,FL,Escambia County,354,646,19880
01,003,01,073,AL,Jefferson County,136,246,7432
01,003,01,053,AL,Escambia County,75,170,3255
01,003,01,117,AL,Shelby County,69,137,5011
01,003,12,113,FL,Santa Rosa County,62,126,3734
01,003,01,089,AL,Madison County,55,128,3579
01,003,01,125,AL,Tuscaloosa County,55,105,3387
01,003,28,059,MS,Jackson County,44,97,2422
01,003,01,081,AL,Lee County,41,63,3075
01,003,48,201,TX,Harris County,37,70,4866
01,003,12,091,FL,Okaloosa County,36,58,2003
01,003,01,101,AL,Montgomery County,34,58,1052
01,003,28,047,MS,Harrison County,34,72,1667
01,003,01,051,AL,Elmore County,28,43,1691
01,003,12,103,FL,Pinellas County,28,50,1366
01,003,13,067,GA,Cobb County,28,48,2274
01,003,01,099,AL,Monroe County,27,54,1093
01,003,04,013,AZ,Maricopa County,27,42,1405
01,003,12,031,FL,Duval County,26,43,1615
01,003,12,057,FL,Hillsborough County,26,40,1223
01,003,47,037,TN,Davidson County,26,43,1683
01,003,01,115,AL,St. Clair County,23,39,873
